,datetime,lat,lon,incident,region
65,2024-05-02T12:00:00.000Z,50.47387,-115.83997,0,South Rockies
66,2024-04-29T18:00:00.000Z,50.62617,-122.67445,0,Southwest Coast
67,2024-04-28T20:00:00.000Z,51.7268361415413,-116.44470874740628,0,Central Rockies
68,2024-04-28T20:00:00.000Z,51.72552515588691,-116.44575325529217,0,Central Rockies
69,2024-04-28T16:00:00.000Z,49.39239399003736,-122.9439617584851,0,Southwest Coast
70,2024-04-27T21:00:00.000Z,49.03998,-121.52355,0,Southwest Coast
71,2024-04-27T20:00:00.000Z,50.655368556468545,-115.16646833761254,0,Central Rockies
72,2024-04-27T19:00:00.000Z,51.43164,-116.09445,0,Central Rockies
73,2024-04-27T17:00:00.000Z,51.30165579371675,-117.581854324038,0,Selkirks
74,2024-04-27T16:55:32.000Z,51.66566584909245,-116.55009970982752,0,Central Rockies
75,2024-04-27T15:00:12.000Z,50.723657372905876,-115.2389589481735,0,Central Rockies
76,2024-04-27T04:00:00.000Z,49.38583,-122.94208,0,Southwest Coast
77,2024-04-27T04:00:00.000Z,49.38559,-122.94206,0,Southwest Coast
78,2024-04-26T19:00:00.000Z,51.25323,-116.0733,0,Central Rockies
79,2024-04-26T18:04:00.000Z,50.71820254696118,-115.24455647944329,0,Central Rockies
80,2024-04-26T15:00:00.000Z,59.68683,-135.1833,0,Yukon
81,2024-04-26T08:00:00.000Z,52.18064982497046,-117.27154107804972,0,Central Rockies
82,2024-04-26T07:00:00.000Z,59.610286100503885,-135.23250195933036,0,Yukon
83,2024-04-26T03:00:00.000Z,51.49211,-116.0903,0,Central Rockies
84,2024-04-25T20:00:00.000Z,49.05142827065066,-117.03320896139635,0,Selkirks
85,2024-04-25T19:00:00.000Z,51.30307672631429,-117.48150213383495,0,Selkirks
86,2024-04-25T07:00:00.000Z,51.259296586248155,-116.13126427404211,0,Central Rockies
87,2024-04-24T17:00:00.000Z,59.66457160840366,-136.4308643505928,0,Yukon
88,2024-04-24T06:30:30.000Z,51.28372237443995,-117.56526800155038,0,Selkirks
